representation,block,block_kind,family,feature_view,sample_count,positive_prevalence,mean_probability,median_probability,predicted_positive_fraction,accuracy,sensitivity,specificity,false_negative_rate,false_positive_rate,auroc,auprc,balanced_accuracy,split_test_rows,split_test_groups,split_purged_homolog_rows,split_purged_homolog_groups,split_train_rows,split_validation_rows
esmfold,classic_atlas,classic,tree,embedding,240.0,0.0,0.5416088755769224,0.5698393692347554,0.6291666666666667,0.37083333333333335,,0.37083333333333335,,0.6291666666666667,,,,240,221,159,74,6560,1639
esmfold,classic_atlas,classic,tree,combined,240.0,0.0,0.5310813535234469,0.5510796411850165,0.5916666666666667,0.4083333333333333,,0.4083333333333333,,0.5916666666666667,,,,240,221,159,74,6560,1639
esmfold,classic_pathpre_dynamic,classic,linear,covariates,1331.0,1.0,0.490751767381298,0.47628048062324524,0.4462809917355372,0.4462809917355372,0.4462809917355372,,0.5537190082644629,,,,,1331,1171,545,277,5375,1347
esmfold,classic_pathpre_dynamic,classic,linear,embedding,1331.0,1.0,0.3946321191711472,0.3266919255256653,0.3749060856498873,0.3749060856498873,0.3749060856498873,,0.6250939143501127,,,,,1331,1171,545,277,5375,1347
esmfold,classic_pathpre_dynamic,classic,linear,combined,1331.0,1.0,0.3941477397159714,0.3195214867591858,0.3786626596543952,0.3786626596543952,0.3786626596543952,,0.6213373403456048,,,,,1331,1171,545,277,5375,1347
esmfold,classic_pathpre_dynamic,classic,tree,covariates,1331.0,1.0,0.3875997823284553,0.367736705946625,0.21637866265965439,0.21637866265965439,0.21637866265965439,,0.7836213373403456,,,,,1331,1171,545,277,5375,1347
esmfold,classic_pathpre_dynamic,classic,tree,embedding,1331.0,1.0,0.3569780432165135,0.3114479891797625,0.3290758827948911,0.3290758827948911,0.3290758827948911,,0.6709241172051089,,,,,1331,1171,545,277,5375,1347
esmfold,classic_pathpre_dynamic,classic,tree,combined,1331.0,1.0,0.35691376463010377,0.3197493764973259,0.32006010518407213,0.32006010518407213,0.32006010518407213,,0.6799398948159279,,,,,1331,1171,545,277,5375,1347
esmfold,classic_pathpre_static,classic,linear,covariates,3080.0,0.0,0.4764775714147594,0.465208038687706,0.4042207792207792,0.5957792207792207,,0.5957792207792207,,0.4042207792207792,,,,3080,2798,1339,754,3343,836
esmfold,classic_pathpre_static,classic,linear,embedding,3080.0,0.0,0.58924938381913,0.6637760996818542,0.6227272727272727,0.37727272727272726,,0.37727272727272726,,0.6227272727272727,,,,3080,2798,1339,754,3343,836
esmfold,classic_pathpre_static,classic,linear,combined,3080.0,0.0,0.5822938275367948,0.653342992067337,0.612987012987013,0.38701298701298703,,0.38701298701298703,,0.612987012987013,,,,3080,2798,1339,754,3343,836
esmfold,classic_pathpre_static,classic,tree,covariates,3080.0,0.0,0.7806608950267543,0.808569469170443,0.9733766233766233,0.026623376623376622,,0.026623376623376622,,0.9733766233766233,,,,3080,2798,1339,754,3343,836
esmfold,classic_pathpre_static,classic,tree,embedding,3080.0,0.0,0.7562622794042999,0.8423412634830973,0.8444805194805195,0.15551948051948053,,0.15551948051948053,,0.8444805194805195,,,,3080,2798,1339,754,3343,836
esmfold,classic_pathpre_static,classic,tree,combined,3080.0,0.0,0.7577847092475319,0.840359781687015,0.8477272727272728,0.15227272727272728,,0.15227272727272728,,0.8477272727272728,,,,3080,2798,1339,754,3343,836
esmfold,classic_pathpre_all,classic,linear,covariates,4411.0,0.30174563591022446,0.47420674954661163,0.4657596945762634,0.402629789163455,0.5944230333257765,0.49511645379413977,0.6373376623376623,0.5048835462058603,0.3626623376623377,0.5999986583664271,0.3747727859584946,0.566227058065901,4411,3852,1368,864,2255,564
esmfold,classic_pathpre_all,classic,linear,embedding,4411.0,0.30174563591022446,0.5119834491606613,0.5217665433883667,0.513715710723192,0.5391067785082748,0.5875281743050338,0.5181818181818182,0.4124718256949662,0.4818181818181818,0.5830326041351586,0.3899105452422841,0.5528549962434259,4411,3852,1368,864,2255,564
esmfold,classic_pathpre_all,classic,linear,combined,4411.0,0.30174563591022446,0.504653973523002,0.5087151527404785,0.5044207662661528,0.5470414871911131,0.585274229902329,0.5305194805194805,0.4147257700976709,0.4694805194805195,0.5896464917501733,0.3959085122788299,0.5578968552109047,4411,3852,1368,864,2255,564
esmfold,classic_pathpre_all,classic,tree,covariates,4411.0,0.30174563591022446,0.7036624341598483,0.7201337529340264,0.9152119700748129,0.33257764679211066,0.9105935386927122,0.08279220779220779,0.08940646130728776,0.9172077922077922,0.5549975850595685,0.3492697151547899,0.49669287324246,4411,3852,1368,864,2255,564
esmfold,classic_pathpre_all,classic,tree,embedding,4411.0,0.30174563591022446,0.6471437021454611,0.7825068972685236,0.6721831784175923,0.45499886647018817,0.7107438016528925,0.3444805194805195,0.2892561983471074,0.6555194805194805,0.5697473825948657,0.38233460057487884,0.527612160566706,4411,3852,1368,864,2255,564
esmfold,classic_pathpre_all,classic,tree,combined,4411.0,0.30174563591022446,0.6467790429813065,0.7790673971557752,0.6739968261165269,0.46089322149172524,0.7235161532682194,0.3474025974025974,0.2764838467317806,0.6525974025974026,0.5745367705172364,0.3777998502111142,0.5354593753354084,4411,3852,1368,864,2255,564
esmfold,paired_dynamicmpnn_rcsb,paired,linear,covariates,3792.0,0.7391877637130801,0.44718819251284003,0.4214044362306595,0.34229957805907174,0.45174050632911394,0.36068498037816626,0.7098078867542973,0.6393150196218338,0.2901921132457027,0.5475535925505209,0.7789701427654313,0.5352464335662318,3792,3183,1189,817,2894,723
esmfold,paired_dynamicmpnn_rcsb,paired,linear,embedding,3792.0,0.7391877637130801,0.32275220814326055,0.2044229581952095,0.2758438818565401,0.41060126582278483,0.2879058151980021,0.7583417593528817,0.7120941848019978,0.2416582406471183,0.5292527470386885,0.7720671091514822,0.523123787275442,3792,3183,1189,817,2894,723
esmfold,paired_dynamicmpnn_rcsb,paired,linear,combined,3792.0,0.7391877637130801,0.3233436039134441,0.20609822124242783,0.274789029535865,0.41218354430379744,0.2882625758116304,0.7633973710819009,0.7117374241883696,0.23660262891809908,0.5310224816903166,0.7736505708869088,0.5258299734467656,3792,3183,1189,817,2894,723
esmfold,paired_dynamicmpnn_rcsb,paired,tree,covariates,3792.0,0.7391877637130801,0.3119240680241291,0.2980152600227448,0.19145569620253164,0.36102320675105487,0.19728861933642525,0.8250758341759353,0.8027113806635747,0.17492416582406473,0.512621714348378,0.7418790838941012,0.5111822267561803,3792,3183,1189,817,2894,723
esmfold,paired_dynamicmpnn_rcsb,paired,tree,embedding,3792.0,0.7391877637130801,0.27220205965565114,0.20344138889150257,0.1629746835443038,0.35680379746835444,0.17516946129147343,0.871587462082912,0.8248305387085266,0.12841253791708795,0.5299990945711424,0.7724660400459776,0.5233784616871927,3792,3183,1189,817,2894,723
esmfold,paired_dynamicmpnn_rcsb,paired,tree,combined,3792.0,0.7391877637130801,0.2796164358841642,0.2120702016159909,0.17668776371308018,0.3647151898734177,0.1897966464502319,0.8604651162790697,0.8102033535497681,0.13953488372093023,0.5505916490601035,0.7820087127044809,0.5251308813646508,3792,3183,1189,817,2894,723
esmfold,paired_dynamicmpnn_atlas,paired,linear,covariates,3043.0,0.9211304633585278,0.4521236802477939,0.4212113618850708,0.3496549457771936,0.39369043706868223,0.36068498037816626,0.7791666666666667,0.6393150196218338,0.22083333333333333,0.5846094957783328,0.9418638310489154,0.5699258235224165,3043,2655,1173,698,3505,877
esmfold,paired_dynamicmpnn_atlas,paired,linear,embedding,3043.0,0.9211304633585278,0.36900365317538003,0.26680222153663635,0.33158067696352284,0.3677292145908643,0.3367820192650731,0.7291666666666666,0.6632179807349269,0.2708333333333333,0.5444211559043881,0.9346136422209594,0.5329743429658699,3043,2655,1173,698,3505,877
esmfold,paired_dynamicmpnn_atlas,paired,linear,combined,3043.0,0.9211304633585278,0.37022267396170666,0.2651563882827759,0.3332237923102202,0.3726585606309563,0.3403496254013557,0.75,0.6596503745986443,0.25,0.5488925555951956,0.935836186933409,0.5451748127006779,3043,2655,1173,698,3505,877
esmfold,paired_dynamicmpnn_atlas,paired,tree,covariates,3043.0,0.9211304633585278,0.27036688029949785,0.23581631128126948,0.1311206046664476,0.19618797239566219,0.13485551195148054,0.9125,0.8651444880485194,0.0875,0.583804554643834,0.938877846550804,0.5236777559757403,3043,2655,1173,698,3505,877
esmfold,paired_dynamicmpnn_atlas,paired,tree,embedding,3043.0,0.9211304633585278,0.27258087571354905,0.19813815255492373,0.16759776536312848,0.23595136378573775,0.17623974313235818,0.9333333333333333,0.8237602568676418,0.06666666666666667,0.5967192888571768,0.9480681183341375,0.5547865382328457,3043,2655,1173,698,3505,877
esmfold,paired_dynamicmpnn_atlas,paired,tree,combined,3043.0,0.9211304633585278,0.2781356075680708,0.20413443997107175,0.18534341110745975,0.25303976339139006,0.19514805565465573,0.9291666666666667,0.8048519443453442,0.07083333333333333,0.6075558924961351,0.949255600471298,0.5621573611606612,3043,2655,1173,698,3505,877
esmfold,paired_promise_rcsb,paired,linear,covariates,1144.0,0.1354895104895105,0.4868400197971117,0.4789213389158249,0.4344405594405594,0.5856643356643356,0.5741935483870968,0.5874620829120324,0.4258064516129032,0.41253791708796766,0.612948889396262,0.19870026361785986,0.5808278156495645,1144,986,803,369,5320,1331
esmfold,paired_promise_rcsb,paired,linear,embedding,1144.0,0.1354895104895105,0.37200201929954346,0.31289519369602203,0.30157342657342656,0.7325174825174825,0.6258064516129033,0.7492416582406471,0.3741935483870968,0.25075834175935285,0.7450406079780815,0.32156292108660933,0.6875240549267752,1144,986,803,369,5320,1331
esmfold,paired_promise_rcsb,paired,linear,combined,1144.0,0.1354895104895105,0.36576259612383394,0.3032907545566559,0.2980769230769231,0.7395104895104895,0.6387096774193548,0.7553083923154702,0.36129032258064514,0.24469160768452983,0.7538014938517237,0.32278936047442514,0.6970090348674125,1144,986,803,369,5320,1331
esmfold,paired_promise_rcsb,paired,tree,covariates,1144.0,0.1354895104895105,0.5559642383995211,0.5692268273417989,0.6634615384615384,0.42132867132867136,0.8129032258064516,0.35995955510616784,0.1870967741935484,0.6400404448938322,0.6008023745066701,0.17689140960024394,0.5864313904563097,1144,986,803,369,5320,1331
esmfold,paired_promise_rcsb,paired,tree,embedding,1144.0,0.1354895104895105,0.4467854854385261,0.4385602643629588,0.40821678321678323,0.6678321678321678,0.7806451612903226,0.6501516683518705,0.21935483870967742,0.34984833164812945,0.7777748785022341,0.4311223439423113,0.7153984148210966,1144,986,803,369,5320,1331
esmfold,paired_promise_rcsb,paired,tree,combined,1144.0,0.1354895104895105,0.4478160020157593,0.43358081583185726,0.4020979020979021,0.6774475524475524,0.7935483870967742,0.6592517694641051,0.2064516129032258,0.34074823053589487,0.7976548484947324,0.4460026703174778,0.7264000782804396,1144,986,803,369,5320,1331
esmfold,paired_promise_atlas,paired,linear,covariates,395.0,0.3924050632911392,0.5041926713683937,0.4882238805294037,0.46582278481012657,0.6025316455696202,0.5870967741935483,0.6125,0.4129032258064516,0.3875,0.5904838709677419,0.44390906997612467,0.5997983870967742,395,366,290,136,6327,1586
esmfold,paired_promise_atlas,paired,linear,embedding,395.0,0.3924050632911392,0.5721583423782376,0.6042625904083252,0.610126582278481,0.5088607594936709,0.6516129032258065,0.4166666666666667,0.34838709677419355,0.5833333333333334,0.545241935483871,0.4123659571430158,0.5341397849462366,395,366,290,136,6327,1586
esmfold,paired_promise_atlas,paired,linear,combined,395.0,0.3924050632911392,0.5671493606712622,0.5980308651924133,0.6050632911392405,0.5088607594936709,0.6451612903225806,0.42083333333333334,0.3548387096774194,0.5791666666666667,0.5490860215053763,0.41450871962627955,0.532997311827957,395,366,290,136,6327,1586
esmfold,paired_promise_atlas,paired,tree,covariates,395.0,0.3924050632911392,0.5049378363135179,0.49952166524343966,0.49873417721518987,0.579746835443038,0.6,0.5666666666666667,0.4,0.43333333333333335,0.5838709677419354,0.4125062525741337,0.5833333333333333,395,366,290,136,6327,1586
esmfold,paired_promise_atlas,paired,tree,embedding,395.0,0.3924050632911392,0.5585776102541942,0.5873996762476331,0.6455696202531646,0.49873417721518987,0.6838709677419355,0.37916666666666665,0.3161290322580645,0.6208333333333333,0.5940591397849463,0.5346355799366986,0.531518817204301,395,366,290,136,6327,1586
esmfold,paired_promise_atlas,paired,tree,combined,395.0,0.3924050632911392,0.5533828011967235,0.5820426715418882,0.6126582278481013,0.5367088607594936,0.6903225806451613,0.4375,0.3096774193548387,0.5625,0.6090322580645161,0.515031746915201,0.5639112903225807,395,366,290,136,6327,1586
bioemu,classic_dynamicmpnn,classic,linear,covariates,2803.0,1.0,0.451753652474836,0.4195215106010437,0.34855511951480556,0.34855511951480556,0.34855511951480556,,0.6514448804851944,,,,,2803,2471,1162,676,3684,923
bioemu,classic_dynamicmpnn,classic,linear,embedding,2803.0,1.0,0.34350999738008337,0.240584135055542,0.2879058151980021,0.2879058151980021,0.2879058151980021,,0.7120941848019978,,,,,2803,2471,1162,676,3684,923
bioemu,classic_dynamicmpnn,classic,linear,combined,2803.0,1.0,0.3490211553771123,0.24583066999912262,0.29575454869782375,0.29575454869782375,0.29575454869782375,,0.7042454513021762,,,,,2803,2471,1162,676,3684,923
bioemu,classic_dynamicmpnn,classic,tree,covariates,2803.0,1.0,0.24374515683235778,0.18516163334487354,0.131287905815198,0.131287905815198,0.131287905815198,,0.868712094184802,,,,,2803,2471,1162,676,3684,923
bioemu,classic_dynamicmpnn,classic,tree,embedding,2803.0,1.0,0.22766885504171055,0.10973344051729796,0.16482340349625402,0.16482340349625402,0.16482340349625402,,0.835176596503746,,,,,2803,2471,1162,676,3684,923
bioemu,classic_dynamicmpnn,classic,tree,combined,2803.0,1.0,0.2317510400902815,0.11282559618231883,0.17338565822333216,0.17338565822333216,0.17338565822333216,,0.8266143417766678,,,,,2803,2471,1162,676,3684,923
bioemu,classic_promise,classic,linear,covariates,147.0,1.0,0.5225968687307267,0.5224072933197021,0.564625850340136,0.564625850340136,0.564625850340136,,0.43537414965986393,,,,,147,138,126,59,6638,1661
bioemu,classic_promise,classic,linear,embedding,147.0,1.0,0.5291368176489055,0.5630143284797668,0.564625850340136,0.564625850340136,0.564625850340136,,0.43537414965986393,,,,,147,138,126,59,6638,1661
bioemu,classic_promise,classic,linear,combined,147.0,1.0,0.5312467802721424,0.5456255674362183,0.5850340136054422,0.5850340136054422,0.5850340136054422,,0.41496598639455784,,,,,147,138,126,59,6638,1661
bioemu,classic_promise,classic,tree,covariates,147.0,1.0,0.5174943311373601,0.5206183213069913,0.5782312925170068,0.5782312925170068,0.5782312925170068,,0.4217687074829932,,,,,147,138,126,59,6638,1661
bioemu,classic_promise,classic,tree,embedding,147.0,1.0,0.5181957184449558,0.552164002505358,0.5306122448979592,0.5306122448979592,0.5306122448979592,,0.46938775510204084,,,,,147,138,126,59,6638,1661
bioemu,classic_promise,classic,tree,combined,147.0,1.0,0.5193447771775496,0.5541441869898766,0.54421768707483,0.54421768707483,0.54421768707483,,0.4557823129251701,,,,,147,138,126,59,6638,1661
bioemu,classic_rcsb,classic,linear,covariates,987.0,0.0,0.47835420707680415,0.4712744951248169,0.3941236068895643,0.6058763931104356,,0.6058763931104356,,0.3941236068895643,,,,987,844,697,311,5510,1378
bioemu,classic_rcsb,classic,linear,embedding,987.0,0.0,0.3825838402123857,0.3413553237915039,0.2988855116514691,0.7011144883485309,,0.7011144883485309,,0.2988855116514691,,,,987,844,697,311,5510,1378
