seed,family,feature_view,test_accuracy,test_auroc,test_auprc
10,linear,raw_bioemu,0.7014354066985646,0.7767620095342869,0.8027791020648604
10,tree,raw_bioemu,0.6909090909090909,0.7776237623762376,0.8050808001982707
10,linear,residual_plddt,0.6889952153110048,0.7576127612761276,0.790414934856904
10,tree,residual_plddt,0.692822966507177,0.780968096809681,0.8087182205537412
10,linear,residual_full_covariates,0.6239234449760765,0.6867510084341768,0.6997338349283443
10,tree,residual_full_covariates,0.6736842105263158,0.7392482581591492,0.7404583367026928
11,linear,raw_bioemu,0.7512437810945274,0.8202206697715679,0.8329220275430201
11,tree,raw_bioemu,0.7303482587064677,0.8112742768431391,0.8206736331158326
11,linear,residual_plddt,0.7323383084577114,0.7966487659601433,0.8176531425157575
11,tree,residual_plddt,0.7492537313432835,0.8156425244748597,0.8230701657512642
11,linear,residual_full_covariates,0.6328358208955224,0.6948444381079111,0.698516448491172
11,tree,residual_full_covariates,0.7054726368159204,0.7520593733168583,0.7268580125064875
12,linear,raw_bioemu,0.7054924242424242,0.7784443168771527,0.8044303111087057
12,tree,raw_bioemu,0.6998106060606061,0.778300803673938,0.8006540304995926
12,linear,residual_plddt,0.6808712121212122,0.7520486509758897,0.7871246834483678
12,tree,residual_plddt,0.7178030303030303,0.7978975315729047,0.8160126827025165
12,linear,residual_full_covariates,0.615530303030303,0.6586610218140068,0.6821727840570256
12,tree,residual_full_covariates,0.6685606060606061,0.7357993685419059,0.7257960438802034
