evaluation,seed,family,feature_view,test_n,test_accuracy,test_auroc,test_auprc
frozen_seed42,42,linear,mean_plddt_only,1057,0.5894039735099338,0.6128081745469127,0.6209132185795999
frozen_seed42,42,tree,mean_plddt_only,1057,0.5931882686849574,0.6121583496237101,0.6131645322703775
repeated,10,linear,mean_plddt_only,1055,0.5914691943127962,0.6438454627133873,0.6312555077791312
repeated,10,tree,mean_plddt_only,1055,0.6199052132701421,0.6373153638814015,0.6191855878624988
repeated,11,linear,mean_plddt_only,1055,0.5677725118483412,0.6165498652291105,0.6166184382401136
repeated,11,tree,mean_plddt_only,1055,0.5744075829383887,0.6110637915543576,0.604538895696162
repeated,12,linear,mean_plddt_only,1055,0.5933649289099526,0.6393656783468105,0.6424780772061902
repeated,12,tree,mean_plddt_only,1055,0.6132701421800948,0.6350745732255166,0.6276828953122999
repeated,13,linear,mean_plddt_only,1055,0.6246445497630332,0.6717124887690926,0.6715377531407019
repeated,13,tree,mean_plddt_only,1055,0.6199052132701421,0.6628535489667564,0.663038244282703
repeated,14,linear,mean_plddt_only,1055,0.6104265402843602,0.6609721473495058,0.6454142881161262
repeated,14,tree,mean_plddt_only,1055,0.6388625592417062,0.6586720575022462,0.6335797890980807
repeated,15,linear,mean_plddt_only,1055,0.6066350710900474,0.6473548966756514,0.6644166926601643
repeated,15,tree,mean_plddt_only,1055,0.6123222748815166,0.6417771787960467,0.6468690298114096
repeated,16,linear,mean_plddt_only,1055,0.6123222748815166,0.6548409703504042,0.6467780394485237
repeated,16,tree,mean_plddt_only,1055,0.6218009478672986,0.6477951482479786,0.6318575934451346
repeated,17,linear,mean_plddt_only,1055,0.6018957345971564,0.6536064690026955,0.6403923954075526
repeated,17,tree,mean_plddt_only,1055,0.6113744075829384,0.6530601976639712,0.6333830071331847
repeated,18,linear,mean_plddt_only,1055,0.5857819905213271,0.6461509433962265,0.6364790248262874
repeated,18,tree,mean_plddt_only,1055,0.5943127962085308,0.6277807726864332,0.5921282275690225
repeated,19,linear,mean_plddt_only,1055,0.6028436018957346,0.6441455525606469,0.6412388700335404
repeated,19,tree,mean_plddt_only,1055,0.6075829383886255,0.6387223719676549,0.618739716005773
