seed,family,feature_view,test_accuracy,test_auroc,test_auprc
10,linear,covariates,0.6853080568720379,0.7648553459119497,0.7933607473578013
10,linear,embedding,0.6938388625592417,0.7667169811320754,0.7459033496017231
10,linear,covariates_plus_esmfold,0.6985781990521327,0.7741311769991015,0.7578194170797973
10,tree,covariates,0.6549763033175355,0.7050476190476191,0.7070598503636334
10,tree,embedding,0.7023696682464455,0.7814914645103325,0.7805752899452378
10,tree,covariates_plus_esmfold,0.7061611374407583,0.7819766397124888,0.789046284354308
11,linear,covariates,0.6815165876777252,0.7590512129380054,0.7931846063918722
11,linear,embedding,0.7014218009478673,0.7628571428571427,0.7430170471610658
11,linear,covariates_plus_esmfold,0.7033175355450237,0.7688912848158131,0.7528638809793712
11,tree,covariates,0.6445497630331753,0.683717879604672,0.6791742899754738
11,tree,embedding,0.7080568720379147,0.7671087151841869,0.7570635540197546
11,tree,covariates_plus_esmfold,0.7165876777251184,0.7763953279424978,0.7689503867963674
12,linear,covariates,0.6985781990521327,0.7824258760107817,0.8096635354504084
12,linear,embedding,0.6957345971563981,0.7592273135669362,0.7472213461590251
12,linear,covariates_plus_esmfold,0.6976303317535545,0.7649667565139263,0.7535940988090618
12,tree,covariates,0.6511848341232227,0.7066972147349506,0.7073342459386653
12,tree,embedding,0.7165876777251184,0.7937897574123989,0.775527045131077
12,tree,covariates_plus_esmfold,0.7260663507109004,0.8053261455525605,0.796421725321924
13,linear,covariates,0.6748815165876777,0.754587601078167,0.7813798072341661
13,linear,embedding,0.7061611374407583,0.7729308176100629,0.7344418295895682
13,linear,covariates_plus_esmfold,0.70521327014218,0.7796909254267744,0.7522052074275255
13,tree,covariates,0.64739336492891,0.6897556154537288,0.6724640217330943
13,tree,embedding,0.7033175355450237,0.7853405211141061,0.7596604547034587
13,tree,covariates_plus_esmfold,0.7222748815165877,0.7973800539083558,0.7716611420716061
14,linear,covariates,0.7004739336492891,0.7800862533692724,0.805700235589032
14,linear,embedding,0.70521327014218,0.7745480682839174,0.7615696392818796
14,linear,covariates_plus_esmfold,0.6786729857819905,0.7686972147349506,0.7616473777914233
14,tree,covariates,0.6587677725118484,0.7094231805929919,0.7038982887019432
14,tree,embedding,0.6938388625592417,0.7766361185983828,0.7765456364279016
14,tree,covariates_plus_esmfold,0.7080568720379147,0.7864977538185085,0.7895502244931778
15,linear,covariates,0.6985781990521327,0.7891787960467206,0.818380058601195
15,linear,embedding,0.6815165876777252,0.743759209344115,0.7330935365889247
15,linear,covariates_plus_esmfold,0.6786729857819905,0.7532183288409703,0.7498292349588085
15,tree,covariates,0.6644549763033175,0.7137825696316262,0.7222026500911083
15,tree,embedding,0.7033175355450237,0.7685498652291105,0.7629322750138781
15,tree,covariates_plus_esmfold,0.7061611374407583,0.7737322551662174,0.7691921440764071
16,linear,covariates,0.6834123222748815,0.7712704402515723,0.8001535263941827
16,linear,embedding,0.6824644549763034,0.7631949685534591,0.7467636760800709
16,linear,covariates_plus_esmfold,0.6900473933649289,0.7697789757412399,0.7559542079725474
16,tree,covariates,0.637914691943128,0.6866954177897574,0.6762320142742055
16,tree,embedding,0.6919431279620853,0.7671338724168912,0.7665630689723943
16,tree,covariates_plus_esmfold,0.7099526066350711,0.7830763701707097,0.779088363042054
17,linear,covariates,0.7004739336492891,0.7733980233602875,0.8051421370964733
17,linear,embedding,0.6853080568720379,0.7706522911051212,0.7624165025674721
17,linear,covariates_plus_esmfold,0.6834123222748815,0.7743000898472596,0.7654191907660959
17,tree,covariates,0.6454976303317536,0.6882336028751123,0.6905929089938414
17,tree,embedding,0.7071090047393365,0.7941743036837376,0.8006338807550518
17,tree,covariates_plus_esmfold,0.728909952606635,0.8115112309074575,0.8111656131097121
18,linear,covariates,0.7071090047393365,0.7811805929919138,0.8064991729661909
18,linear,embedding,0.6947867298578199,0.7585372866127584,0.7339562203454122
18,linear,covariates_plus_esmfold,0.7023696682464455,0.7641617250673856,0.7409282931460838
18,tree,covariates,0.6578199052132702,0.7038939802336028,0.7111569778190754
18,tree,embedding,0.7241706161137441,0.783529200359389,0.7745330197615341
18,tree,covariates_plus_esmfold,0.7165876777251184,0.7901383647798742,0.7795071625009931
19,linear,covariates,0.6919431279620853,0.7675849056603773,0.8035106915303147
19,linear,embedding,0.6758293838862559,0.7597376460017969,0.7527572310200941
19,linear,covariates_plus_esmfold,0.6796208530805687,0.7724743935309973,0.7703496529449874
19,tree,covariates,0.6511848341232227,0.7108589398023359,0.7263760731243899
19,tree,embedding,0.7232227488151659,0.7979910152740342,0.7978993240019676
19,tree,covariates_plus_esmfold,0.7260663507109004,0.8084564240790655,0.8070965024929787
