feature_id,proteins,mean_hinge_activation,mean_control_activation,mean_hinge_minus_control,median_hinge_minus_control,protein_sign_flip_p,protein_sign_flip_fdr,hinge_effect_rank,displacement_balanced_spearman,displacement_fdr,prs_balanced_spearman,prs_fdr,transition_associated_both_fdr_005
3491,3,182.23970540364584,161.48096211751303,20.758738835652668,19.255504608154297,0.3333333333333333,1.0,1,0.11109351193020721,0.00023510852129482804,0.001971483056379299,0.8625686846402089,False
2291,3,53.44534079233805,36.939921855926514,16.50541893641154,7.32131814956665,0.5555555555555556,1.0,2,-0.023271104004741774,0.00023510852129482804,0.002754721320167274,0.8140080631493227,False
528,3,60.14068063100179,44.449750900268555,15.69093100229899,4.2488908767700195,0.5555555555555556,1.0,3,-0.027988378870758016,0.00023510852129482804,0.006653206388950535,0.09812352098123521,False
17,3,27.112497965494793,12.93878173828125,14.173716227213541,0.0,1.0,1.0,4,-0.04979281943644629,0.00023510852129482804,0.0028649730741999763,0.6865381215956197,False
2048,3,13.980470021565756,0.18609710037708282,13.794372921188673,0.0,1.0,1.0,5,-0.015404489962533994,0.00023510852129482804,0.007436794581243311,0.07935206479352065,False
545,3,21.37700017293294,9.14495849609375,12.232041676839193,4.814347267150879,0.3333333333333333,1.0,6,-0.004687119292861552,0.16119514440173535,0.003822758037486478,0.6155449256252579,False
819,3,15.551107406616211,4.407607331871986,11.143500074744225,6.172882080078125,0.5555555555555556,1.0,7,0.015767390776045786,0.00023510852129482804,9.591899635292678e-05,0.9963595238785841,False
4088,3,21.387468338012695,11.41726557413737,9.970202763875326,4.826543807983398,0.7777777777777778,1.0,8,-0.010789480653970554,0.00044517287401694614,0.0008856211128238352,0.9391548620568068,False
2067,3,22.77494939168294,12.807491779327393,9.96745761235555,14.887430191040039,0.5555555555555556,1.0,9,-0.011319618229133275,0.0010373835969999757,-0.003957591573184386,0.5860435033779994,False
1166,3,16.499894460042317,7.51313320795695,8.986761252085367,6.457878112792969,0.5555555555555556,1.0,10,0.008429357958314987,0.012830797120789173,-0.004328792328192751,0.5656473138520887,False
3074,3,98.25732739766438,89.41630617777507,8.841021219889322,8.372588157653809,0.3333333333333333,1.0,11,-0.008339650645575509,0.01584302475102284,-0.004256527412452767,0.5871300981789933,False
2873,3,67.2572713692983,58.59587572018305,8.661395624279976,-0.17710359394550323,1.0,1.0,12,0.011916315386716487,0.00023510852129482804,0.009046367229348826,0.032764723527647234,True
2933,3,32.03455766042074,23.586480458577473,8.448077062765757,8.324958801269531,0.5555555555555556,1.0,13,-0.05154602168594467,0.00023510852129482804,-0.002412540825309176,0.8124817147914838,False
3945,3,9.260608196258545,0.8747323354085287,8.385875860850016,4.551214694976807,0.5555555555555556,1.0,14,-0.024944277122188843,0.00023510852129482804,0.009267048477389659,0.023811572331138977,True
3598,3,12.407257000605265,4.086727142333984,8.320529778798422,0.0,1.0,1.0,15,-0.037188510261556396,0.00023510852129482804,0.031337983479679456,0.008030569492070401,True
1456,3,26.45484161376953,19.085058212280273,7.369783401489258,9.380025863647461,0.7777777777777778,1.0,16,0.007056583178757025,0.025980695862643836,-0.0017377939818429076,0.879388162049433,False
3769,3,7.627111434936523,0.33978109061717987,7.287330344319344,0.0,1.0,1.0,17,-0.059455207038431254,0.00023510852129482804,-0.0011475458665510575,0.9187405583765947,False
2607,3,8.30915653705597,1.0627244313557942,7.246432105700175,1.9216598272323608,0.5555555555555556,1.0,18,-0.013879878499483392,0.00023510852129482804,0.008997850596468996,0.012601816741402783,True
1162,3,21.784364064534504,14.58642582098643,7.197937528292338,1.3556344509124756,0.5555555555555556,1.0,19,0.002463402087881169,0.4688327300337922,-0.0007551994822301809,0.9496782659470986,False
